f_event_id,f_event_code,f_event_name,f_time,f_duration,f_summary
"1","C","開場","10:00","0",""
"2","A","出席確認","10:20","0",""
"3","C","開会式","10:30","15",""
"4","E","走れ〇人〇脚","11:00","50",""
"5","E","ガチンコ綱引き","11:00","50",""
"6","E","四天王ドッチボール","12:00","50",""
"7","E","昼休憩＆コスプレ大会","13:00","50",""
"8","A","出席確認","13:30","0",""
"9","E","紙飛行機飛ばし","14:00","30",""
"10","E","学科別対抗リレー","15:30","50",""
"11","A","出席確認","16:20","0",""
"12","C","閉会式","16:30","15",""
"13","C","退館完了","17:00","0",""
